family_id	head	size	book_hits	raw_hits	book_members	peak_word	charged	labelled	charged_pct	pos_ct	neg_ct	contrast	held	done	eligible
oewn-01429048-v	sleep together	29	1843	24739	13	have	26	29	0.9	25	1	1	0	0	1
oewn-00064841-v	suffer	27	1338	21608	24	have	19	27	0.7	0	19	0	0	0	1
oewn-02488014-v	murder	10	1209	1452	8	off	9	10	0.9	0	9	0	0	0	1
oewn-02677669-v	satisfy	10	695	8088	8	do	8	10	0.8	4	4	1	0	0	1
oewn-00690278-v	trust	16	606	4082	16	look	15	16	0.94	15	0	0	0	0	1
oewn-02534046-v	fail	39	442	4121	19	miss	34	39	0.87	0	34	0	0	0	1
oewn-00597330-v	know	10	417	3663	5	know	7	10	0.7	7	0	0	0	0	1
oewn-00620568-v	identify	11	356	3127	6	tell	9	11	0.82	0	9	0	0	0	1
oewn-00695834-v	respect	12	354	909	9	fear	12	12	1.0	12	0	0	0	0	1
oewn-00205454-v	better	21	322	983	16	better	19	21	0.9	16	3	1	0	0	1
oewn-01801358-v	grieve	8	288	331	8	pity	8	8	1.0	0	8	0	0	0	1
oewn-00727236-v	surprise	14	277	916	7	catch	11	14	0.79	5	6	1	0	0	1
oewn-01796596-v	pain	11	256	1085	9	try	10	11	0.91	4	6	1	0	0	1
oewn-00611237-v	remember	9	245	1503	8	mind	8	9	0.89	5	3	1	0	0	1
oewn-01797206-v	hurt	16	238	440	15	spite	13	16	0.81	0	13	0	0	0	1
oewn-02156396-v	watch	9	235	1279	6	mind	9	9	1.0	9	0	0	0	0	1
oewn-02581157-v	deceive	33	202	663	24	fool	23	33	0.7	3	20	1	0	0	1
oewn-02462665-v	respect	9	201	696	8	observe	8	9	0.89	8	0	0	0	0	1
oewn-01810472-v	capture	15	174	1968	13	work	13	15	0.87	13	0	0	0	0	1
oewn-02550045-v	gamble	11	171	441	7	chance	9	11	0.82	8	1	1	0	0	1
oewn-02513385-v	trouble	9	171	556	8	trouble	9	9	1.0	0	9	0	0	0	1
oewn-01811849-v	attract	16	156	689	14	catch	15	16	0.94	15	0	0	0	0	1
oewn-02329474-v	lend	11	151	1065	9	bring	9	11	0.82	8	1	1	0	0	1
oewn-00635105-v	speculate	14	144	523	8	suppose	11	14	0.79	11	0	0	0	0	1
oewn-02459338-v	back	10	135	1299	7	back	8	10	0.8	8	0	0	0	0	1
oewn-01148517-v	strive	10	131	730	5	trouble	10	10	1.0	2	8	1	0	0	1
oewn-01778057-v	hate	10	131	180	9	hate	10	10	1.0	0	10	0	0	0	1
oewn-00663742-v	check	13	129	1271	9	follow	13	13	1.0	13	0	0	0	0	1
oewn-00064660-v	indispose	16	127	600	10	wear	16	16	1.0	12	4	1	0	0	1
oewn-00074774-v	tire	20	117	602	10	wear	15	20	0.75	12	3	1	0	0	1
oewn-02355171-v	rid	10	115	632	6	clear	8	10	0.8	6	2	1	0	0	1
oewn-02725274-v	tend	8	112	1056	6	run	6	8	0.75	6	0	0	0	0	1
oewn-00839722-v	feign	12	109	385	7	mouth	9	12	0.75	0	9	0	0	0	1
oewn-01040538-v	chew the fat	19	107	467	6	visit	14	19	0.74	14	0	0	0	0	1
