family_id	head	size	peak_zipf	median_zipf	peak_word	charged	labelled	charged_pct	held	eligible	covered	synsets
oewn-02156396-v	watch	9	5.81	5.34	look after	9	9	1.0	0	1	0	4
oewn-00663742-v	check	13	6.03	5.31	go over	13	13	1.0	0	1	0	2
oewn-00597330-v	know	9	6.79	5.2	be with it	7	10	0.7	0	1	0	4
oewn-01429048-v	sleep together	29	6.71	5.06	have	26	29	0.9	0	1	0	4
oewn-02550045-v	gamble	11	5.26	4.91	chance	9	11	0.82	0	1	0	3
oewn-02677669-v	satisfy	9	6.35	4.85	do	8	10	0.8	0	1	0	4
oewn-00249545-v	progress	9	6.28	4.78	get on	7	9	0.78	0	1	0	3
oewn-00620568-v	identify	11	5.71	4.78	place	9	11	0.82	0	1	0	2
oewn-00611237-v	remember	9	6.08	4.71	think of	8	9	0.89	0	1	0	5
oewn-02581808-v	flim-flam	9	4.82	4.48	pull a fast one on	8	9	0.89	0	1	0	2
oewn-02551275-v	risk	9	5.49	4.46	put on the line	8	9	0.89	0	1	0	3
oewn-02355171-v	rid	10	5.63	4.4	free	8	10	0.8	0	1	0	7
oewn-00843665-v	denounce	11	5.62	4.38	give away	10	11	0.91	0	1	0	2
oewn-02459338-v	back	10	6.04	4.34	back	8	10	0.8	0	1	0	3
oewn-02197640-v	spot	14	6.08	4.33	make out	13	14	0.93	0	1	0	4
oewn-00839722-v	feign	12	4.83	4.33	mouth	9	12	0.75	0	1	0	5
oewn-00690278-v	trust	16	5.81	4.29	look	15	16	0.94	0	1	0	5
oewn-02725274-v	tend	8	5.49	4.29	run	6	8	0.75	0	1	0	4
oewn-00695834-v	respect	12	5.89	4.28	think the world of	12	12	1.0	0	1	0	4
oewn-00205454-v	better	20	6.08	4.18	get over	19	21	0.9	0	1	0	10
oewn-02513385-v	trouble	9	5.66	4.17	put out	9	9	1.0	0	1	0	2
oewn-01802947-v	disappoint	8	5.6	4.14	let down	8	8	1.0	0	1	0	4
oewn-02488014-v	murder	10	5.93	4.13	off	9	10	0.9	0	1	0	3
oewn-02582588-v	cheat on	8	5.88	4.06	two-time	7	8	0.88	0	1	0	3
oewn-02462665-v	respect	9	5.03	4.06	respect	8	9	0.89	0	1	0	3
oewn-01796596-v	pain	11	5.5	4.03	try	10	11	0.91	0	1	0	5
oewn-00799092-v	refuse	13	5.32	4.03	turn down	10	13	0.77	0	1	0	6
oewn-02329474-v	lend	11	5.27	3.92	bring	9	11	0.82	0	1	0	5
oewn-00074774-v	tire	20	5.01	3.86	beat	15	20	0.75	0	1	0	3
oewn-00064660-v	indispose	16	4.94	3.86	hurt	16	16	1.0	0	1	0	4
oewn-02427126-v	free	14	5.92	3.85	take over	10	14	0.71	0	1	0	8
oewn-00727236-v	surprise	14	5.04	3.83	ball over	11	14	0.79	0	1	0	6
oewn-01810472-v	capture	15	5.96	3.81	work	13	15	0.87	0	1	0	3
oewn-01800044-v	rage	17	4.95	3.81	have a fit	17	17	1.0	0	1	0	3
oewn-00258155-v	expand	9	4.35	3.64	expand	8	9	0.89	0	1	0	3
oewn-01148517-v	strive	10	4.94	3.63	reach	10	10	1.0	0	1	0	4
oewn-00064841-v	suffer	26	6.71	3.62	have	19	27	0.7	0	1	0	15
oewn-01885173-v	roll	16	5.12	3.56	range	12	16	0.75	0	1	0	3
oewn-01433266-v	masturbate	8	5.39	3.52	fuck off	6	8	0.75	0	1	0	3
oewn-00273709-v	inure	10	4.55	3.52	prepare for	7	10	0.7	0	1	0	3
oewn-01803805-v	humiliate	12	5.88	3.5	take down	12	12	1.0	0	1	0	3
oewn-01804404-v	take down	8	5.88	3.5	take down	6	8	0.75	0	1	0	3
oewn-01801358-v	grieve	8	5.67	3.49	feel for	8	8	1.0	0	1	0	3
oewn-01811849-v	attract	16	4.87	3.49	catch	15	16	0.94	0	1	0	3
oewn-01766380-v	agitate	12	5.32	3.48	turn on	10	12	0.83	0	1	0	5
oewn-01794768-v	confuse	8	5.66	3.42	put off	6	8	0.75	0	1	0	4
oewn-00860817-v	cheer	11	4.06	3.35	cheer	11	11	1.0	0	1	0	3
oewn-00826456-v	call on the carpet	27	5.53	3.33	tell off	27	27	1.0	0	1	0	3
oewn-02534046-v	fail	38	5.39	3.28	fuck up	34	39	0.87	0	1	0	11
oewn-01797206-v	hurt	16	4.94	3.23	hurt	13	16	0.81	0	1	0	5
oewn-00828170-v	knock	53	5.78	3.22	come down	40	54	0.74	0	1	4	15
oewn-01812736-v	repel	9	5.66	3.2	put off	9	9	1.0	0	1	0	3
oewn-00798638-v	reject	11	5.32	3.2	turn down	10	11	0.91	0	1	0	3
oewn-02583006-v	fudge	8	4.65	3.17	cook	7	8	0.88	0	1	0	2
oewn-02064997-v	flinch	10	3.73	3.16	shrink	8	10	0.8	0	1	0	2
oewn-02539728-v	waive	8	5.71	3.12	give up	6	8	0.75	0	1	0	2
oewn-01778057-v	hate	10	5.11	3.11	hate	10	10	1.0	0	1	0	3
oewn-01040538-v	chew the fat	19	5.04	3.0	visit	14	19	0.74	0	1	0	2
oewn-00635105-v	speculate	14	4.75	2.96	develop	11	14	0.79	0	1	0	3
oewn-00478872-v	mar	13	4.46	2.93	cloud	13	13	1.0	0	1	0	3
oewn-01815703-v	elate	12	5.08	2.92	pick up	13	13	1.0	0	1	0	4
oewn-00208618-v	worsen	8	3.28	2.86	degrade	6	8	0.75	0	1	0	4
oewn-00022679-v	stimulate	21	4.41	2.81	repair	17	23	0.74	0	1	0	5
oewn-00905999-v	acquit	9	5.25	2.71	clear	7	9	0.78	0	1	0	4
oewn-01812341-v	disgust	12	4.46	2.68	shock	12	12	1.0	0	1	0	2
