family_id	head	size	peak_zipf	median_zipf	peak_word	charged	labelled	charged_pct	eligible	covered	synsets
oewn-01936911-a	ready	10	5.59	5.06	set	7	10	0.7	1	7	7
oewn-00023420-a	inaccurate	9	5.62	4.96	away	7	9	0.78	1	5	5
oewn-02281076-a	sound	8	6.12	4.77	good	7	8	0.88	1	5	5
oewn-00021803-a	accurate	12	5.96	4.7	right	9	12	0.75	1	8	8
oewn-01051573-a	fortunate	12	6.12	4.62	good	12	12	1.0	1	8	8
oewn-00229099-a	best	20	6.11	4.61	first	17	20	0.85	1	9	12
oewn-00658802-a	crucial	8	5.44	4.55	important	6	8	0.75	1	4	4
oewn-00727525-a	reliable	9	5.67	4.48	sure	8	9	0.89	1	4	4
oewn-02349336-a	superior	50	6.42	4.45	A-one	44	51	0.86	1	1	24
oewn-00740790-a	preserved	9	5.0	4.45	kept up	8	10	0.8	1	6	6
oewn-00303560-a	calm	9	5.92	4.4	still	9	9	1.0	1	0	4
oewn-00782933-a	distinct	13	5.25	4.38	clear	13	13	1.0	1	0	8
oewn-00943706-a	explicit	10	4.74	4.38	stated	10	10	1.0	1	0	6
oewn-00309819-a	careful	19	5.67	4.34	sure	14	19	0.74	1	0	12
oewn-00071547-a	affected	9	5.33	4.34	taken	7	9	0.78	1	0	7
oewn-02107054-a	senior	8	5.3	4.33	major	8	8	1.0	1	0	5
oewn-02107989-a	junior	9	4.69	4.32	younger	9	9	1.0	1	0	4
oewn-00653599-a	critical	10	5.1	4.31	serious	9	10	0.9	1	0	4
oewn-01950023-a	reasonable	12	5.15	4.29	sound	10	12	0.83	1	0	4
oewn-00833284-a	educated	10	5.42	4.28	well-read	8	10	0.8	1	0	5
oewn-00806609-a	sharp	12	4.61	4.26	cutting	11	12	0.92	1	0	5
oewn-02029118-a	rich	15	5.85	4.25	well-to-do	14	15	0.93	1	3	3
oewn-00609798-a	conventional	11	5.04	4.25	straight	8	11	0.73	1	0	5
oewn-01378100-a	known	15	5.39	4.24	known	12	15	0.8	1	0	8
oewn-01047939-a	informal	8	5.12	4.23	free-and-easy	9	9	1.0	1	0	5
oewn-01337350-a	intelligent	19	5.28	4.21	ready	14	19	0.74	1	7	10
oewn-00019169-a	accessible	8	5.35	4.18	get-at-able	6	8	0.75	1	0	4
oewn-00191603-a	aware	8	4.78	4.16	aware	8	8	1.0	1	0	4
oewn-01843460-a	precise	14	6.0	4.13	very	13	14	0.93	1	0	10
oewn-00480005-a	uncomfortable	10	5.53	4.13	bad	10	10	1.0	1	0	7
oewn-00287444-a	broad-minded	11	5.09	4.13	free-thinking	10	11	0.91	1	0	5
oewn-00959321-a	fair	10	6.43	4.12	just	7	10	0.7	1	0	5
oewn-02473921-a	trustworthy	12	5.67	4.12	sure	10	13	0.77	1	0	6
oewn-01709214-a	overt	8	5.48	4.11	open	6	8	0.75	1	0	5
oewn-01920096-a	unqualified	11	5.25	4.1	clear	9	11	0.82	1	0	5
oewn-02348283-a	inferior	10	5.51	4.07	small	9	10	0.9	1	0	6
oewn-01335338-a	intellectual	8	6.12	4.06	good	8	8	1.0	1	0	6
oewn-01931771-a	rational	11	5.24	4.06	thinking	9	11	0.82	1	0	5
oewn-01784531-a	mental	9	4.83	4.06	mental	7	9	0.78	1	0	6
oewn-01572768-a	international	11	5.89	4.05	world	8	11	0.73	1	0	5
oewn-00339715-a	confident	8	4.99	4.05	positive	8	8	1.0	1	0	5
oewn-01899020-a	humble	9	5.33	4.03	low	8	9	0.89	1	3	3
oewn-01119091-a	genuine	14	6.12	4.02	good	10	14	0.71	1	5	5
oewn-01591485-a	nasty	8	5.53	4.01	mean	8	8	1.0	1	0	4
oewn-02087716-a	satisfactory	21	5.96	3.99	all right	15	21	0.71	1	0	8
oewn-00453543-a	close	16	6.12	3.98	good	16	18	0.89	1	0	10
